run_id,architecture,temporal_mode,target,session,seed,run_directory
area_pooled_temporal-cnn_causal_seed0,temporal-cnn,causal,area,,0,output/spatial-sequence/runs/area/temporal-cnn_causal_seed0
height_pooled_temporal-cnn_causal_seed0,temporal-cnn,causal,height,,0,output/spatial-sequence/runs/height/temporal-cnn_causal_seed0
velocity_pooled_temporal-cnn_causal_seed0,temporal-cnn,causal,velocity,,0,output/spatial-sequence/runs/velocity/temporal-cnn_causal_seed0
position_caret-lavender-left-mint-right-run01_temporal-cnn_causal_seed1,temporal-cnn,causal,position,caret-lavender-left-mint-right-run01,1,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/temporal-cnn_causal_seed1
position_caret-mint-left-lavender-right-run01_temporal-cnn_causal_seed1,temporal-cnn,causal,position,caret-mint-left-lavender-right-run01,1,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/temporal-cnn_causal_seed1
position_inverted-caret-lavender-left-mint-right-run01_temporal-cnn_causal_seed1,temporal-cnn,causal,position,inverted-caret-lavender-left-mint-right-run01,1,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/temporal-cnn_causal_seed1
position_lavender-only-horizontal-run01_temporal-cnn_causal_seed1,temporal-cnn,causal,position,lavender-only-horizontal-run01,1,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/temporal-cnn_causal_seed1
position_mint-only-horizontal-run01_temporal-cnn_causal_seed1,temporal-cnn,causal,position,mint-only-horizontal-run01,1,output/spatial-sequence/runs/position/mint-only-horizontal-run01/temporal-cnn_causal_seed1
distance_pooled_temporal-cnn_causal_seed1,temporal-cnn,causal,distance,,1,output/spatial-sequence/runs/distance/temporal-cnn_causal_seed1
area_pooled_temporal-cnn_causal_seed1,temporal-cnn,causal,area,,1,output/spatial-sequence/runs/area/temporal-cnn_causal_seed1
height_pooled_temporal-cnn_causal_seed1,temporal-cnn,causal,height,,1,output/spatial-sequence/runs/height/temporal-cnn_causal_seed1
velocity_pooled_temporal-cnn_causal_seed1,temporal-cnn,causal,velocity,,1,output/spatial-sequence/runs/velocity/temporal-cnn_causal_seed1
position_caret-lavender-left-mint-right-run01_temporal-cnn_causal_seed2,temporal-cnn,causal,position,caret-lavender-left-mint-right-run01,2,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/temporal-cnn_causal_seed2
position_caret-mint-left-lavender-right-run01_temporal-cnn_causal_seed2,temporal-cnn,causal,position,caret-mint-left-lavender-right-run01,2,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/temporal-cnn_causal_seed2
position_inverted-caret-lavender-left-mint-right-run01_temporal-cnn_causal_seed2,temporal-cnn,causal,position,inverted-caret-lavender-left-mint-right-run01,2,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/temporal-cnn_causal_seed2
position_lavender-only-horizontal-run01_temporal-cnn_causal_seed2,temporal-cnn,causal,position,lavender-only-horizontal-run01,2,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/temporal-cnn_causal_seed2
position_mint-only-horizontal-run01_temporal-cnn_causal_seed2,temporal-cnn,causal,position,mint-only-horizontal-run01,2,output/spatial-sequence/runs/position/mint-only-horizontal-run01/temporal-cnn_causal_seed2
distance_pooled_temporal-cnn_causal_seed2,temporal-cnn,causal,distance,,2,output/spatial-sequence/runs/distance/temporal-cnn_causal_seed2
area_pooled_temporal-cnn_causal_seed2,temporal-cnn,causal,area,,2,output/spatial-sequence/runs/area/temporal-cnn_causal_seed2
height_pooled_temporal-cnn_causal_seed2,temporal-cnn,causal,height,,2,output/spatial-sequence/runs/height/temporal-cnn_causal_seed2
velocity_pooled_temporal-cnn_causal_seed2,temporal-cnn,causal,velocity,,2,output/spatial-sequence/runs/velocity/temporal-cnn_causal_seed2
position_caret-lavender-left-mint-right-run01_temporal-cnn_causal_seed3,temporal-cnn,causal,position,caret-lavender-left-mint-right-run01,3,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/temporal-cnn_causal_seed3
position_caret-mint-left-lavender-right-run01_temporal-cnn_causal_seed3,temporal-cnn,causal,position,caret-mint-left-lavender-right-run01,3,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/temporal-cnn_causal_seed3
position_inverted-caret-lavender-left-mint-right-run01_temporal-cnn_causal_seed3,temporal-cnn,causal,position,inverted-caret-lavender-left-mint-right-run01,3,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/temporal-cnn_causal_seed3
position_lavender-only-horizontal-run01_temporal-cnn_causal_seed3,temporal-cnn,causal,position,lavender-only-horizontal-run01,3,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/temporal-cnn_causal_seed3
position_mint-only-horizontal-run01_temporal-cnn_causal_seed3,temporal-cnn,causal,position,mint-only-horizontal-run01,3,output/spatial-sequence/runs/position/mint-only-horizontal-run01/temporal-cnn_causal_seed3
distance_pooled_temporal-cnn_causal_seed3,temporal-cnn,causal,distance,,3,output/spatial-sequence/runs/distance/temporal-cnn_causal_seed3
area_pooled_temporal-cnn_causal_seed3,temporal-cnn,causal,area,,3,output/spatial-sequence/runs/area/temporal-cnn_causal_seed3
height_pooled_temporal-cnn_causal_seed3,temporal-cnn,causal,height,,3,output/spatial-sequence/runs/height/temporal-cnn_causal_seed3
velocity_pooled_temporal-cnn_causal_seed3,temporal-cnn,causal,velocity,,3,output/spatial-sequence/runs/velocity/temporal-cnn_causal_seed3
position_caret-lavender-left-mint-right-run01_temporal-cnn_causal_seed4,temporal-cnn,causal,position,caret-lavender-left-mint-right-run01,4,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/temporal-cnn_causal_seed4
position_caret-mint-left-lavender-right-run01_temporal-cnn_causal_seed4,temporal-cnn,causal,position,caret-mint-left-lavender-right-run01,4,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/temporal-cnn_causal_seed4
position_inverted-caret-lavender-left-mint-right-run01_temporal-cnn_causal_seed4,temporal-cnn,causal,position,inverted-caret-lavender-left-mint-right-run01,4,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/temporal-cnn_causal_seed4
position_lavender-only-horizontal-run01_temporal-cnn_causal_seed4,temporal-cnn,causal,position,lavender-only-horizontal-run01,4,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/temporal-cnn_causal_seed4
position_mint-only-horizontal-run01_temporal-cnn_causal_seed4,temporal-cnn,causal,position,mint-only-horizontal-run01,4,output/spatial-sequence/runs/position/mint-only-horizontal-run01/temporal-cnn_causal_seed4
distance_pooled_temporal-cnn_causal_seed4,temporal-cnn,causal,distance,,4,output/spatial-sequence/runs/distance/temporal-cnn_causal_seed4
area_pooled_temporal-cnn_causal_seed4,temporal-cnn,causal,area,,4,output/spatial-sequence/runs/area/temporal-cnn_causal_seed4
height_pooled_temporal-cnn_causal_seed4,temporal-cnn,causal,height,,4,output/spatial-sequence/runs/height/temporal-cnn_causal_seed4
velocity_pooled_temporal-cnn_causal_seed4,temporal-cnn,causal,velocity,,4,output/spatial-sequence/runs/velocity/temporal-cnn_causal_seed4
position_caret-lavender-left-mint-right-run01_temporal-cnn_bidirectional_seed0,temporal-cnn,bidirectional,position,caret-lavender-left-mint-right-run01,0,output/spatial-sequence/runs/position/caret-lavender-left-mint-right-run01/temporal-cnn_bidirectional_seed0
position_caret-mint-left-lavender-right-run01_temporal-cnn_bidirectional_seed0,temporal-cnn,bidirectional,position,caret-mint-left-lavender-right-run01,0,output/spatial-sequence/runs/position/caret-mint-left-lavender-right-run01/temporal-cnn_bidirectional_seed0
position_inverted-caret-lavender-left-mint-right-run01_temporal-cnn_bidirectional_seed0,temporal-cnn,bidirectional,position,inverted-caret-lavender-left-mint-right-run01,0,output/spatial-sequence/runs/position/inverted-caret-lavender-left-mint-right-run01/temporal-cnn_bidirectional_seed0
position_lavender-only-horizontal-run01_temporal-cnn_bidirectional_seed0,temporal-cnn,bidirectional,position,lavender-only-horizontal-run01,0,output/spatial-sequence/runs/position/lavender-only-horizontal-run01/temporal-cnn_bidirectional_seed0
position_mint-only-horizontal-run01_temporal-cnn_bidirectional_seed0,temporal-cnn,bidirectional,position,mint-only-horizontal-run01,0,output/spatial-sequence/runs/position/mint-only-horizontal-run01/temporal-cnn_bidirectional_seed0
distance_pooled_temporal-cnn_bidirectional_seed0,temporal-cnn,bidirectional,distance,,0,output/spatial-sequence/runs/distance/temporal-cnn_bidirectional_seed0
area_pooled_temporal-cnn_bidirectional_seed0,temporal-cnn,bidirectional,area,,0,output/spatial-sequence/runs/area/temporal-cnn_bidirectional_seed0
