source,distance_bin,channel,q25,median,q75,session_count,encounter_count,supported
lavender,9,S16,-0.00014612078666687012,7.405877113342272e-06,0.00024402141571044922,2,4,True
lavender,9,S17,-0.0017840862274169924,0.00047019124031066873,0.0036742687225341797,2,4,True
lavender,9,S18,-0.0005171895027160645,0.00012467801570892323,0.0012638568878173828,2,4,True
lavender,9,S19,-0.00035643577575683637,-0.00016582012176513677,0.0017207264900207517,2,4,True
lavender,9,S2,-0.012752652168273926,-0.006680190563201905,0.008165121078491211,2,4,True
lavender,9,S20,-0.0007910728454589844,-0.0002028942108154298,0.0011307001113891602,2,4,True
lavender,9,S21,-0.0002409815788269043,-9.223818778991726e-06,0.0004628896713256836,2,4,True
lavender,9,S22,-0.00031763315200805664,-0.0003073960542678833,0.00023937225341796875,2,4,True
lavender,9,S23,-0.0015790462493896489,-0.000361144542694092,5.1140785217285156e-05,2,4,True
lavender,9,S24,-0.0012407302856445312,-0.0006734430789947511,-4.0531158447265625e-06,2,4,True
lavender,9,S25,-0.0006080865859985352,-6.45816326141358e-05,0.0009082555770874023,2,4,True
lavender,9,S26,-0.0030858516693115234,-0.001611590385437012,0.002648472785949707,2,4,True
lavender,9,S27,-0.0012171268463134772,-0.0005615949630737306,0.00034439563751220703,2,4,True
lavender,9,S28,-0.0007674098014831544,0.0005329251289367674,0.0028069019317626953,2,4,True
lavender,9,S29,-0.0010202527046203613,0.00014907121658325174,0.0026683807373046875,2,4,True
lavender,9,S3,-0.0002964735031127931,0.00013530254364013672,0.00021219253540039062,2,4,True
lavender,9,S30,-6.252527236938478e-05,6.06328248977661e-05,0.00022554397583007812,2,4,True
lavender,9,S31,-0.0010460615158081061,-0.0003096163272857668,0.00033718347549438477,2,4,True
lavender,9,S32,-0.000269472599029541,-0.00010406970977783206,0.00037479400634765625,2,4,True
lavender,9,S4,-0.0052950382232666016,-0.001876771450042725,0.0054569244384765625,2,4,True
lavender,9,S5,-0.0003834962844848634,0.0004009902477264404,0.0014344453811645508,2,4,True
lavender,9,S6,-2.324581146240237e-06,1.0415911674499508e-05,2.002716064453125e-05,2,4,True
lavender,9,S7,-0.0007672309875488283,-0.0002931952476501466,3.337860107421875e-06,2,4,True
lavender,9,S8,-0.00043976306915283214,0.0003091990947723388,0.0013523101806640625,2,4,True
lavender,9,S9,-0.0017474889755249023,-0.001591026782989502,0.0009524822235107422,2,4,True
lavender,11,S1,-0.0045506954193115234,0.02036130428314209,0.0452733039855957,2,2,False
lavender,11,S10,2.0503997802734375e-05,0.00013655424118041992,0.00025260448455810547,2,2,False
lavender,11,S11,-0.0026700496673583984,-0.0009802579879760742,0.00070953369140625,2,2,False
lavender,11,S12,1.6868114471435547e-05,0.0013168752193450928,0.00261688232421875,2,2,False
