session,cell_id,paper_x_cm,paper_y_cm,channel,visit_count,temporal_span_s,visit_scaled_mad_kohm,normalized_dispersion
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S4,3,252.29299999999998,0.002400831985473633,0.24747677172526875
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S5,3,252.29299999999998,0.0015307424783706665,0.6812175554506843
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S6,3,252.29299999999998,6.203563213348389e-05,1.1690258118234804
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S7,3,252.29299999999998,8.483505249023437e-06,0.011805213969503198
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S8,3,252.29299999999998,0.001704124116897583,0.6488996567736726
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S9,3,252.29299999999998,0.0002304685592651367,0.07025483540757502
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S10,3,252.29299999999998,0.00018009774684906005,1.0251509054325956
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S11,3,252.29299999999998,4.206404685974121e-05,0.06319702602230483
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S12,3,252.29299999999998,0.0006446580290794372,0.41621498259827694
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S13,3,252.29299999999998,0.000904377007484436,0.5871485943775101
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S14,3,252.29299999999998,0.0005804131507873535,0.4489712215462438
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S15,3,252.29299999999998,0.000391655158996582,0.5717234262125902
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S16,3,252.29299999999998,0.0002682024836540222,0.6030200675541426
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S17,3,252.29299999999998,0.002730098032951355,0.6497980817768804
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S18,3,252.29299999999998,0.0014730369687080383,0.6895424836601307
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S19,3,252.29299999999998,0.0005687483310699463,1.052321778940484
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S20,3,252.29299999999998,0.0013916483402252196,0.5458200471371135
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S21,3,252.29299999999998,0.0005911942720413207,0.6335827256368973
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S22,3,252.29299999999998,0.0003304148554801941,0.3415235659481184
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S23,3,252.29299999999998,7.034239768981933e-05,0.10479199578725645
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S24,3,252.29299999999998,0.00032237319946289063,0.13629231114099977
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S25,3,252.29299999999998,0.0010910141229629516,0.5886896814800687
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S26,3,252.29299999999998,0.0027631483554840085,0.36987792183211887
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S27,3,252.29299999999998,0.0005570835113525391,0.9005714285714287
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S28,3,252.29299999999998,0.0037935407638549803,0.651114818747156
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S29,3,252.29299999999998,0.003585871624946594,0.7038925895087428
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S30,3,252.29299999999998,0.00042567754983901976,0.582325918762089
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S31,3,252.29299999999998,0.0002442542552947998,0.3188740193816336
caret-mint-left-lavender-right-run01,56,-11.493871688842773,-12.43554401397705,S32,3,252.29299999999998,0.0008062864780426025,0.6326007072037717
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S1,3,199.382,0.0029306975841522217,0.13207171473401672
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S2,3,199.382,0.005469033050537109,0.26988086308848924
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S3,3,199.382,7.352371215820312e-05,0.14814814814814814
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S4,3,199.382,0.003303088116645813,0.34048096192384775
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S5,3,199.382,0.00041551501750946044,0.18491426773635364
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S6,3,199.382,4.330122470855712e-06,0.08159866777685261
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S7,3,199.382,0.00026475605964660644,0.368421052631579
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S8,3,199.382,0.001732402467727661,0.6596675415573053
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S9,3,199.382,0.0008923587083816528,0.2720219815742686
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S10,3,199.382,1.5906572341918944e-06,0.009054325955734407
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S11,3,199.382,8.730940818786621e-05,0.13117365905469996
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S12,3,199.382,0.0012750001430511474,0.8231870827865579
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S13,3,199.382,0.0007004194021224975,0.4547332185886403
caret-mint-left-lavender-right-run01,1751,-12.12394905090332,3.647327184677124,S14,3,199.382,0.0002797789335250854,0.21641944083669423
