session,channel,q01_kohm,q25_kohm,median_kohm,q75_kohm,q99_kohm
caret-lavender-left-mint-right-run01,S17,1.9786878490447999,1.9883993864059448,1.9911284446716309,1.9936637878417969,2.001972312927246
caret-lavender-left-mint-right-run01,S18,0.9764303207397461,0.9819481372833252,0.9833356142044067,0.9844774007797241,0.988294198513031
caret-lavender-left-mint-right-run01,S19,2.2043714714050293,2.2052340507507324,2.2071733474731445,2.2075860500335693,2.207930870056152
caret-lavender-left-mint-right-run01,S20,1.0027454662322999,1.008500576019287,1.0101888179779053,1.0116896629333496,1.0156498765945434
caret-lavender-left-mint-right-run01,S21,0.7656577324867249,0.7679334282875061,0.7685460448265076,0.7690778374671936,0.7707313871383668
caret-lavender-left-mint-right-run01,S22,0.8100016617774963,0.8117656111717224,0.8124511241912842,0.8129629492759705,0.8143775939941407
caret-lavender-left-mint-right-run01,S23,2.2043247413635254,2.2052218914031982,2.207329034805298,2.2077243328094482,2.208075637817383
caret-lavender-left-mint-right-run01,S24,1.1731094121932983,1.1764960289001465,1.1780649423599243,1.1794626712799072,1.1824165487289429
caret-lavender-left-mint-right-run01,S25,1.8195181322097778,1.8225481510162354,1.82362699508667,1.8245829343795776,1.8278602457046509
caret-lavender-left-mint-right-run01,S26,1.3604419374465941,1.373490333557129,1.3788788318634033,1.3832322359085083,1.3970951890945436
caret-lavender-left-mint-right-run01,S27,2.204251556396484,2.2051773071289062,2.2071549892425537,2.2075469493865967,2.2078469085693357
caret-lavender-left-mint-right-run01,S28,1.1435519170761108,1.158830165863037,1.1624375581741333,1.166050910949707,1.1767840099334717
caret-lavender-left-mint-right-run01,S29,1.060253610610962,1.0731360912322998,1.0766496658325195,1.0796449184417725,1.0895243215560912
caret-lavender-left-mint-right-run01,S30,0.8086540794372559,0.8101989030838013,0.8105781078338623,0.8109888434410095,0.8119479274749756
caret-lavender-left-mint-right-run01,S31,2.2043600940704344,2.205387592315674,2.207315444946289,2.2077112197875977,2.208046541213989
caret-lavender-left-mint-right-run01,S32,0.7100756025314331,0.7133153080940247,0.7141713500022888,0.7148335576057434,0.7169971179962158
lavender-only-horizontal-run01,S1,2.924745888710022,2.9379740953445435,2.947270154953003,2.9653071761131287,3.011587767601013
lavender-only-horizontal-run01,S2,3.0435660529136657,3.0578376054763794,3.0670528411865234,3.082897126674652,3.1244048142433165
lavender-only-horizontal-run01,S3,1.8176683390140533,1.9344919621944427,2.179064154624939,2.206290602684021,2.207659993171692
lavender-only-horizontal-run01,S4,1.345707346200943,1.3587305843830109,1.3639618754386902,1.3714392483234406,1.3893554854393004
lavender-only-horizontal-run01,S5,1.1016818153858186,1.107018530368805,1.1081922054290771,1.1093632578849792,1.1119866585731506
lavender-only-horizontal-run01,S6,0.4809215182065964,0.48102399706840515,0.48107773065567017,0.4811089411377907,0.4811548501253128
lavender-only-horizontal-run01,S7,0.8114270198345185,1.7560502886772156,2.1597224473953247,2.2055752277374268,2.208075747489929
lavender-only-horizontal-run01,S8,1.19110769033432,1.1971416175365448,1.1984519958496094,1.1995513141155243,1.2020895349979401
lavender-only-horizontal-run01,S9,1.0455591869354248,1.0484371483325958,1.0501447319984436,1.0526176691055298,1.0578571128845216
lavender-only-horizontal-run01,S10,1.5003962862491607,1.5007685422897339,1.5008748769760132,1.5009887516498566,1.5012360513210297
lavender-only-horizontal-run01,S11,0.9434538263082505,1.7182501554489136,2.15517520904541,2.206028699874878,2.207865436077118
lavender-only-horizontal-run01,S12,0.8882095390558242,0.8912418931722641,0.8922092914581299,0.8932808935642242,0.8956935596466065
lavender-only-horizontal-run01,S13,1.008185431957245,1.0112354755401611,1.01211416721344,1.0131221115589142,1.01532674908638
lavender-only-horizontal-run01,S14,0.9579912787675857,0.9602208137512207,0.9609224796295166,0.9618044942617416,0.9637375301122666
lavender-only-horizontal-run01,S15,1.2356582593917846,1.789582073688507,2.1630783081054688,2.2054266333580017,2.2079033970832826
lavender-only-horizontal-run01,S16,0.6390480583906174,0.6399335414171219,0.6402016282081604,0.640514463186264,0.6411616617441177
lavender-only-horizontal-run01,S17,1.9790648114681244,1.9875173568725586,1.9902401566505432,1.9934087991714478,2.0008026218414305
lavender-only-horizontal-run01,S18,0.9765281254053115,0.9814258813858032,0.9826286733150482,0.9839819073677063,0.9867903053760528
lavender-only-horizontal-run01,S19,1.5057768368721007,1.8878368735313416,2.1741045713424683,2.2066314816474915,2.207757475376129
lavender-only-horizontal-run01,S20,1.002852487564087,1.0076684355735779,1.009156882762909,1.0109468698501587,1.014681943655014
lavender-only-horizontal-run01,S21,0.7657814288139343,0.767777755856514,0.7683367133140564,0.76897132396698,0.7702661418914795
lavender-only-horizontal-run01,S22,0.8100868129730224,0.8115300834178925,0.8120603263378143,0.8127064853906631,0.8140752083063125
lavender-only-horizontal-run01,S23,0.715038143992424,1.6868727207183838,2.1486170291900635,2.20545095205307,2.2079426550865175
lavender-only-horizontal-run01,S24,1.173903419971466,1.1757532358169556,1.1769129633903503,1.1785409450531006,1.1822607958316802
lavender-only-horizontal-run01,S25,1.8199105668067932,1.8228040933609009,1.8237094283103943,1.8248112499713898,1.8273127746582032
lavender-only-horizontal-run01,S26,1.3607747101783751,1.3708716332912445,1.3748814463615417,1.3802485167980194,1.3923231959342957
lavender-only-horizontal-run01,S27,1.0459837925434112,1.704014003276825,2.1501195430755615,2.205278515815735,2.207758514881134
lavender-only-horizontal-run01,S28,1.1433784246444703,1.156428337097168,1.1594584584236145,1.1622636020183563,1.1685124230384827
lavender-only-horizontal-run01,S29,1.060417858362198,1.071925699710846,1.0749595761299133,1.0783563256263733,1.0854893946647644
lavender-only-horizontal-run01,S30,0.8089751446247101,0.8104850053787231,0.8107835650444031,0.8110563009977341,0.8116747331619263
lavender-only-horizontal-run01,S31,1.3166418027877809,1.8120878338813782,2.163465142250061,2.20551598072052,2.2079337191581727
lavender-only-horizontal-run01,S32,0.7099545949697494,0.7128415554761887,0.7135385274887085,0.7142994999885559,0.7159612029790878
inverted-caret-lavender-left-mint-right-run01,S1,2.92196102142334,2.938203990459442,2.9504787921905518,2.9639214277267456,3.004070317745209
inverted-caret-lavender-left-mint-right-run01,S2,3.0412067651748655,3.0590420961380005,3.070812702178955,3.082474648952484,3.1194720029830934
inverted-caret-lavender-left-mint-right-run01,S3,2.2041982007026673,2.205094873905182,2.2072181701660156,2.2074471712112427,2.207884044647217
inverted-caret-lavender-left-mint-right-run01,S4,1.3443274068832398,1.3593457341194153,1.3659008741378784,1.3713496327400208,1.3895972394943237
inverted-caret-lavender-left-mint-right-run01,S5,1.1017828488349914,1.1073517799377441,1.1086121797561646,1.109770506620407,1.1131234788894653
inverted-caret-lavender-left-mint-right-run01,S6,0.48041439056396484,0.48051073402166367,0.4805551618337631,0.4805934876203537,0.4806365668773651
inverted-caret-lavender-left-mint-right-run01,S7,2.2044616079330446,2.205472946166992,2.207451820373535,2.207818865776062,2.2081826758384704
inverted-caret-lavender-left-mint-right-run01,S8,1.1910143315792083,1.1974446177482605,1.1988338828086853,1.1999278366565704,1.2033275496959686
inverted-caret-lavender-left-mint-right-run01,S9,1.0443519639968872,1.0480976700782776,1.0501335859298706,1.0520101487636566,1.0571437621116637
inverted-caret-lavender-left-mint-right-run01,S10,1.5003734827041626,1.5007844269275665,1.5008926391601562,1.5010097026824951,1.5013148260116578
inverted-caret-lavender-left-mint-right-run01,S11,2.2042930126190186,2.2053195238113403,2.2073367834091187,2.207658529281616,2.2079649901390077
inverted-caret-lavender-left-mint-right-run01,S12,0.8878919416666031,0.891380250453949,0.8923611342906952,0.8932542055845261,0.8957530337572098
inverted-caret-lavender-left-mint-right-run01,S13,1.0080822324752807,1.011335551738739,1.0122601985931396,1.013098955154419,1.0154394340515136
inverted-caret-lavender-left-mint-right-run01,S14,0.9578058910369873,0.9601251482963562,0.9609163701534271,0.9615937173366547,0.9635515648126602
