pca_fit,channel,PC1_loading,PC2_loading,PC3_loading
caret-lavender-left-mint-right-run01,S2,0.19816715656121076,0.00624356846020091,-0.2797708681499272
caret-lavender-left-mint-right-run01,S3,-0.003953526586876232,0.254333412206105,0.18717462947852337
caret-lavender-left-mint-right-run01,S4,0.21159470339960537,0.006950362936582905,-0.14959815988708247
caret-lavender-left-mint-right-run01,S5,0.20172399670237318,0.00558577126304498,0.25650095957539004
caret-lavender-left-mint-right-run01,S6,0.10076918281799872,-0.02031219138100672,0.04468461901935014
caret-lavender-left-mint-right-run01,S7,-0.005175832224499573,0.3218785980649997,0.15240168421064262
caret-lavender-left-mint-right-run01,S8,0.18853188928096815,0.0021439300094993133,0.3439079483852186
caret-lavender-left-mint-right-run01,S9,0.20086384861135292,0.005540805057679118,-0.2736429256637125
caret-lavender-left-mint-right-run01,S10,0.20224150404919256,0.005687242845273136,0.12653056134063473
caret-lavender-left-mint-right-run01,S11,-0.0023492893931582968,0.3877755401156881,0.1471455391217754
caret-lavender-left-mint-right-run01,S12,0.21694533674031438,0.0033728438298057132,0.029076982849116827
caret-lavender-left-mint-right-run01,S13,0.21740359461959904,0.0028941334417931295,0.009490377847580264
caret-lavender-left-mint-right-run01,S14,0.2164532614183708,0.004018701404074503,-0.0723987205741266
caret-lavender-left-mint-right-run01,S15,0.011021716930276943,0.40931119474099176,0.0359195367677221
caret-lavender-left-mint-right-run01,S16,0.21682655570307074,0.0036064943436023974,0.007377880139582191
caret-lavender-left-mint-right-run01,S17,0.21436743013653667,0.004483369081101557,-0.007768855593178561
caret-lavender-left-mint-right-run01,S18,0.21524497708885965,0.0019682259236936256,0.10352861961133683
caret-lavender-left-mint-right-run01,S19,0.01110626270474972,0.41643292268623305,-0.041768420397411965
caret-lavender-left-mint-right-run01,S20,0.21762562085992362,0.0006443514148086107,-0.042027794101019526
caret-lavender-left-mint-right-run01,S21,0.2178086723590429,-0.00029927024736164134,0.022158595634340077
caret-lavender-left-mint-right-run01,S22,0.21126067000250953,-0.003209529715554672,-0.1546170898252138
caret-lavender-left-mint-right-run01,S23,-0.0037253502849422856,0.3940856745106838,-0.14351277023031336
caret-lavender-left-mint-right-run01,S24,0.18355616325717428,-0.00904432268239004,-0.33405727055597456
caret-lavender-left-mint-right-run01,S25,0.2137246088831355,-0.0030486317726839242,0.03716199778749813
caret-lavender-left-mint-right-run01,S26,0.21297894951149104,-0.004301822461205837,-0.11912450288736574
caret-lavender-left-mint-right-run01,S27,-0.0057824175297154405,0.3358264252854365,-0.17833540674245935
caret-lavender-left-mint-right-run01,S28,0.19832988621727887,-0.0029110561544138484,0.2849776255008277
caret-lavender-left-mint-right-run01,S29,0.21648584804585594,-0.0028713970717705456,0.0615407647071117
caret-lavender-left-mint-right-run01,S30,0.1886499459474463,-0.0018041893800569953,0.3230116211799041
caret-lavender-left-mint-right-run01,S31,-0.017302902210782043,0.2671209753598419,-0.11805132061818124
caret-lavender-left-mint-right-run01,S32,0.21028058387557566,-0.010173227036683113,0.11674305502773016
lavender-only-horizontal-run01,S1,0.18955125420738897,0.0825058328276274,-0.29793254605590413
lavender-only-horizontal-run01,S2,0.19368983518646332,0.07812300299260702,-0.2673254296510596
lavender-only-horizontal-run01,S3,-0.058366638853595686,0.3226513221620124,0.127810431648709
lavender-only-horizontal-run01,S4,0.20406882871751167,0.06442523970517176,-0.13586269742857324
lavender-only-horizontal-run01,S5,0.19734576636984835,0.01125094284151743,0.2715913453005147
