source,leg,sample_offset,channel,q25,median,q75,session_count,encounter_count
lavender,entry,-3,S7,-0.0022168231732917557,0.000415328261140105,0.0006322643973610617,4,20
lavender,entry,-3,S8,-0.003177450253413274,-0.0017147752973768447,-0.0011593103408813477,4,20
lavender,entry,-3,S9,-0.004026532173156738,-0.0029045465664985855,-0.0018643895785013832,4,20
lavender,entry,-2,S1,-0.0194394771869366,-0.015556702247032749,-0.009150727589925118,4,20
lavender,entry,-2,S10,-0.00023177266120910647,-0.00019076892307826453,-9.51290130615235e-05,4,20
lavender,entry,-2,S11,-0.0013006120533138124,3.166632218794396e-05,0.0004271810705011541,4,20
lavender,entry,-2,S12,-0.00222719076907996,-0.0018347129225730896,-0.0011372566223144531,4,20
lavender,entry,-2,S13,-0.002149332653392445,-0.0016122758388519287,-0.0010527031762259348,4,20
lavender,entry,-2,S14,-0.0016518831253051758,-0.0014464396696824294,-0.0008786320686340332,4,20
lavender,entry,-2,S15,-0.0020333203402432528,-0.0018955740061673252,4.6199018304997596e-05,4,20
lavender,entry,-2,S16,-0.0006324034748655378,-0.0005129352211952211,-0.0003578790596553258,4,20
lavender,entry,-2,S17,-0.005588188315882828,-0.004969790577888489,-0.0028631329536437985,4,20
lavender,entry,-2,S18,-0.0032072952299407034,-0.0023535490036010742,-0.0016115307807922363,4,20
lavender,entry,-2,S19,-0.0027509169145063924,-0.0011188983917236356,-5.351413380016108e-05,4,20
lavender,entry,-2,S2,-0.019896806814731695,-0.015735962452032622,-0.009211635589599594,4,20
lavender,entry,-2,S20,-0.0033496076410466976,-0.002861163555047451,-0.0017760396003723145,4,20
lavender,entry,-2,S21,-0.001345303925600919,-0.0010172054171562197,-0.0006594061851501471,4,20
lavender,entry,-2,S22,-0.0011057183146476746,-0.0008907883595197629,-0.000584036111831665,4,20
lavender,entry,-2,S23,-0.002728548916903409,-0.002288637223181787,0.0003392588008533823,4,20
lavender,entry,-2,S24,-0.002691189448038737,-0.0015321022424942406,-0.0010299303314902565,4,20
lavender,entry,-2,S25,-0.002190709114074707,-0.0015779787843877618,-0.0008795346532549169,4,20
lavender,entry,-2,S26,-0.009208106994628908,-0.0069225354072375185,-0.0041790604591369655,4,20
lavender,entry,-2,S27,-0.0026346445083618164,-0.00034774433482777,3.358450802889624e-05,4,20
lavender,entry,-2,S28,-0.007482830580178793,-0.006202651394738091,-0.0034305027553013395,4,20
lavender,entry,-2,S29,-0.00736583001685865,-0.005599945783615113,-0.0037613511085510254,4,20
lavender,entry,-2,S3,-0.001269238335745675,3.2323779481829935e-05,0.00031490759416059996,4,20
lavender,entry,-2,S30,-0.0008778608206546668,-0.00036541798285075596,-0.00023404615265982493,4,20
lavender,entry,-2,S31,-0.002440550110556863,-0.001901596242731268,0.00012703375382856823,4,20
lavender,entry,-2,S32,-0.0019706898265414766,-0.0014138089285956488,-0.0006648983274187358,4,20
lavender,entry,-2,S4,-0.011919010769237171,-0.010448578076484876,-0.006316721439361573,4,20
lavender,entry,-2,S5,-0.0029626993032602165,-0.0023257732391357413,-0.001206704548427037,4,20
lavender,entry,-2,S6,-8.204206824302673e-05,-4.0047999584313574e-05,-5.066394805908189e-06,4,20
lavender,entry,-2,S7,-0.0021279725161465735,-0.00037682273171164913,0.00048672069202769877,4,20
lavender,entry,-2,S8,-0.0033733019461998576,-0.0019340621573584419,-0.001108842236655099,4,20
lavender,entry,-2,S9,-0.003967920939127603,-0.0029018872823470673,-0.0017655491828918442,4,20
lavender,entry,-1,S1,-0.019513706366221108,-0.012950897216796873,-0.0069128785814557645,4,20
lavender,entry,-1,S10,-0.00022193789482116705,-0.00015950202941894534,-0.00010037422180175781,4,20
lavender,entry,-1,S11,-0.002631693175344756,-0.00020312488853157373,0.00038215247067538167,4,20
lavender,entry,-1,S12,-0.002164813605221835,-0.0015917221705118816,-0.0007360577583312988,4,20
lavender,entry,-1,S13,-0.0019996491345492277,-0.001583093251937475,-0.0006844997406005859,4,20
lavender,entry,-1,S14,-0.001658463478088379,-0.001188189555437137,-0.0006271004676818851,4,20
lavender,entry,-1,S15,-0.0026884873708089194,-2.828511324795907e-06,0.0004338831096500544,4,20
lavender,entry,-1,S16,-0.0006114407019181685,-0.00046539765137892507,-0.00018131732940673828,4,20
lavender,entry,-1,S17,-0.005358681082725525,-0.004964324144216685,-0.002448403835296631,4,20
lavender,entry,-1,S18,-0.0031110138604135227,-0.002379603683948517,-0.0012843906879425049,4,20
lavender,entry,-1,S19,-0.0019868612289428715,8.734789761629954e-05,0.00036819569476239023,4,20
lavender,entry,-1,S2,-0.01944899559020996,-0.01343397605113494,-0.006918907165527344,4,20
lavender,entry,-1,S20,-0.0033419457348910246,-0.0025231012931236857,-0.001191556453704835,4,20
