session,channel,raw_vmin_kohm,raw_vmax_kohm,robust_vmin,robust_vmax
lavender-only-horizontal-run01,S28,1.1427292466913652,1.1743136102216205,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S28,1.1427292466913652,1.1743136102216205,-3.0,3.0
mint-only-horizontal-run01,S29,1.060041111206975,1.0875955388586795,-3.0,3.0
caret-mint-left-lavender-right-run01,S29,1.060041111206975,1.0875955388586795,-3.0,3.0
caret-lavender-left-mint-right-run01,S29,1.060041111206975,1.0875955388586795,-3.0,3.0
lavender-only-horizontal-run01,S29,1.060041111206975,1.0875955388586795,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S29,1.060041111206975,1.0875955388586795,-3.0,3.0
mint-only-horizontal-run01,S30,0.8078170359134674,0.8118643195372525,-3.0,3.0
caret-mint-left-lavender-right-run01,S30,0.8078170359134674,0.8118643195372525,-3.0,3.0
caret-lavender-left-mint-right-run01,S30,0.8078170359134674,0.8118643195372525,-3.0,3.0
lavender-only-horizontal-run01,S30,0.8078170359134674,0.8118643195372525,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S30,0.8078170359134674,0.8118643195372525,-3.0,3.0
mint-only-horizontal-run01,S31,1.3204978585243226,2.2080492973327637,-3.0,3.0
caret-mint-left-lavender-right-run01,S31,1.3204978585243226,2.2080492973327637,-3.0,3.0
caret-lavender-left-mint-right-run01,S31,1.3204978585243226,2.2080492973327637,-3.0,3.0
lavender-only-horizontal-run01,S31,1.3204978585243226,2.2080492973327637,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S31,1.3204978585243226,2.2080492973327637,-3.0,3.0
mint-only-horizontal-run01,S32,0.7100012247699646,0.7165116459110028,-3.0,3.0
caret-mint-left-lavender-right-run01,S32,0.7100012247699646,0.7165116459110028,-3.0,3.0
caret-lavender-left-mint-right-run01,S32,0.7100012247699646,0.7165116459110028,-3.0,3.0
lavender-only-horizontal-run01,S32,0.7100012247699646,0.7165116459110028,-3.0,3.0
inverted-caret-lavender-left-mint-right-run01,S32,0.7100012247699646,0.7165116459110028,-3.0,3.0
